player_id,playstyle,tier,game_version
19541,Cross Claimer,base,FC26
19541,Footwork,base,FC26
20801,Acrobatic,base,FC26
20801,Aerial Fortress,base,FC26
20801,Gamechanger,base,FC26
20801,Low Driven Shot,base,FC26
20801,Precision Header,base,FC26
20801,Trickster,base,FC26
20801,Power Shot,plus,FC26
25798,Enforcer,base,FC26
25798,Precision Header,base,FC26
53110,Far Throw,base,FC26
53110,Footwork,base,FC26
70004,Press Proven,base,FC26
70017,Low Driven Shot,base,FC26
70065,Technical,base,FC26
70084,Anticipate,base,FC26
70104,Bruiser,base,FC26
70107,Dead Ball,base,FC26
70108,Block,base,FC26
70108,Intercept,base,FC26
70108,Jockey,base,FC26
70108,Whipped Pass,base,FC26
70114,Aerial Fortress,base,FC26
70114,Precision Header,base,FC26
70114,Relentless,base,FC26
70118,Footwork,base,FC26
70129,Inventive,base,FC26
70129,Long Ball Pass,base,FC26
70129,Press Proven,base,FC26
70129,Whipped Pass,base,FC26
70229,Aerial Fortress,base,FC26
70249,Precision Header,base,FC26
70252,Anticipate,base,FC26
70252,Block,base,FC26
70252,Intercept,base,FC26
70298,Aerial Fortress,base,FC26
70331,Technical,base,FC26
70334,Technical,base,FC26
70415,Gamechanger,base,FC26
70419,Aerial Fortress,base,FC26
70419,Precision Header,base,FC26
70419,Relentless,base,FC26
70441,Dead Ball,base,FC26
70496,Gamechanger,base,FC26
70497,First Touch,base,FC26
70497,Technical,base,FC26
70550,Quick Step,base,FC26
70569,Jockey,base,FC26
70571,Technical,base,FC26
70650,Gamechanger,base,FC26
70651,Technical,base,FC26
70651,Trickster,base,FC26
70693,Long Ball Pass,base,FC26
70726,First Touch,base,FC26
70726,Gamechanger,base,FC26
70726,Quick Step,base,FC26
70726,Trickster,base,FC26
70728,Incisive Pass,base,FC26
70728,Inventive,base,FC26
70728,Technical,base,FC26
70801,Quick Step,base,FC26
70810,Press Proven,base,FC26
70822,Whipped Pass,base,FC26
70832,Bruiser,base,FC26
70832,Jockey,base,FC26
70832,Relentless,base,FC26
70838,Press Proven,base,FC26
70841,Relentless,base,FC26
70888,Inventive,base,FC26
70902,Low Driven Shot,base,FC26
70902,Quick Step,base,FC26
70902,Rapid,base,FC26
70937,Long Ball Pass,base,FC26
70948,Relentless,base,FC26
70960,Quick Step,base,FC26
70960,Rapid,base,FC26
70971,Gamechanger,base,FC26
71013,Press Proven,base,FC26
71084,Precision Header,base,FC26
71103,Anticipate,base,FC26
71103,Intercept,base,FC26
71103,Jockey,base,FC26
71106,First Touch,base,FC26
71106,Technical,base,FC26
71110,Finesse Shot,base,FC26
71134,Rapid,base,FC26
71138,Aerial Fortress,base,FC26
71138,Precision Header,base,FC26
71140,Aerial Fortress,base,FC26
71141,Precision Header,base,FC26
71178,Low Driven Shot,base,FC26
71178,Technical,base,FC26
71205,Technical,base,FC26
71215,Gamechanger,base,FC26
71259,Bruiser,base,FC26
71259,Relentless,base,FC26
71263,Incisive Pass,base,FC26
71297,Gamechanger,base,FC26
71330,Aerial Fortress,base,FC26
71350,Long Ball Pass,base,FC26
71394,Bruiser,base,FC26
71401,Slide Tackle,base,FC26
71418,Quick Step,base,FC26
71474,Gamechanger,base,FC26
71474,Technical,base,FC26
71487,Aerial Fortress,base,FC26
71532,First Touch,base,FC26
71532,Technical,base,FC26
71532,Tiki Taka,base,FC26
71641,Footwork,base,FC26
71727,Anticipate,base,FC26
71727,Jockey,base,FC26
71727,Relentless,base,FC26
71858,Long Ball Pass,base,FC26
71864,Intercept,base,FC26
71998,Quick Step,base,FC26
72027,Slide Tackle,base,FC26
72093,Whipped Pass,base,FC26
72137,Jockey,base,FC26
72137,Whipped Pass,base,FC26
72138,Incisive Pass,base,FC26
72159,Press Proven,base,FC26
72284,Press Proven,base,FC26
72319,Technical,base,FC26
72354,Gamechanger,base,FC26
72360,Press Proven,base,FC26
72382,Intercept,base,FC26
72457,Precision Header,base,FC26
72611,Quick Step,base,FC26
72620,Aerial Fortress,base,FC26
72620,Precision Header,base,FC26
72656,Precision Header,base,FC26
72672,Far Throw,base,FC26
72754,Rapid,base,FC26
72755,Footwork,base,FC26
72758,Press Proven,base,FC26
72775,Gamechanger,base,FC26
72775,Precision Header,base,FC26
72775,Whipped Pass,base,FC26
72779,Enforcer,base,FC26
72817,Press Proven,base,FC26
72817,Trickster,base,FC26
72824,Relentless,base,FC26
72825,Quick Step,base,FC26
72825,Technical,base,FC26
72834,Anticipate,base,FC26
72834,Dead Ball,base,FC26
72834,Jockey,base,FC26
72845,Long Throw,base,FC26
72845,Relentless,base,FC26
72862,Inventive,base,FC26
72873,Long Ball Pass,base,FC26
72884,Aerial Fortress,base,FC26
72887,Aerial Fortress,base,FC26
72887,Anticipate,base,FC26
72891,Rapid,base,FC26
72899,Enforcer,base,FC26
72909,Long Throw,base,FC26
72916,Aerial Fortress,base,FC26
72916,Block,base,FC26
72916,Whipped Pass,base,FC26
72917,Cross Claimer,base,FC26
72923,Footwork,base,FC26
72937,Cross Claimer,base,FC26
72997,Finesse Shot,base,FC26
72997,Gamechanger,base,FC26
72997,Inventive,base,FC26
72997,Technical,base,FC26
72997,Trickster,base,FC26
73007,Enforcer,base,FC26
73039,Far Throw,base,FC26
73048,Whipped Pass,base,FC26
73050,Press Proven,base,FC26
73051,Intercept,base,FC26
73051,Press Proven,base,FC26
73057,Quick Step,base,FC26
73057,Technical,base,FC26
73067,Aerial Fortress,base,FC26
73068,Block,base,FC26
73068,Bruiser,base,FC26
73070,Bruiser,base,FC26
73070,Enforcer,base,FC26
73070,Precision Header,base,FC26
73078,Aerial Fortress,base,FC26
73083,Aerial Fortress,base,FC26
73083,Precision Header,base,FC26
73085,Dead Ball,base,FC26
73085,Press Proven,base,FC26
73086,Slide Tackle,base,FC26
73128,Aerial Fortress,base,FC26
73128,Long Ball Pass,base,FC26
73196,Aerial Fortress,base,FC26
73200,Block,base,FC26
73209,Press Proven,base,FC26
73238,Bruiser,base,FC26
73238,Long Throw,base,FC26
73238,Slide Tackle,base,FC26
73259,Aerial Fortress,base,FC26
73282,Precision Header,base,FC26
73288,Dead Ball,base,FC26
73288,Finesse Shot,base,FC26
73301,Incisive Pass,base,FC26
73307,Technical,base,FC26
73307,Trickster,base,FC26
73349,Precision Header,base,FC26
73369,Enforcer,base,FC26
73374,Enforcer,base,FC26
73374,Press Proven,base,FC26
73374,Relentless,base,FC26
73381,Press Proven,base,FC26
73398,Enforcer,base,FC26
73398,Finesse Shot,base,FC26
73398,First Touch,base,FC26
73398,Gamechanger,base,FC26
73398,Press Proven,base,FC26
73412,Precision Header,base,FC26
73413,Relentless,base,FC26
73413,Whipped Pass,base,FC26
73426,Technical,base,FC26
73449,Finesse Shot,base,FC26
73449,First Touch,base,FC26
73449,Gamechanger,base,FC26
73449,Power Shot,base,FC26
73449,Press Proven,base,FC26
73449,Trickster,base,FC26
73453,Long Ball Pass,base,FC26
73453,Whipped Pass,base,FC26
73456,Slide Tackle,base,FC26
73466,Aerial Fortress,base,FC26
73466,Anticipate,base,FC26
73466,Bruiser,base,FC26
73466,Intercept,base,FC26
73466,Jockey,base,FC26
73562,Deflector,base,FC26
73582,Rapid,base,FC26
73585,Inventive,base,FC26
